Alias,IATA,lat,lon,id
Toronto,YTZ,43.6275,-79.3962,139
Tuktoyaktuk,YUB,69.4333,-133.026,140
Montreal,YUL,45.4706,-73.7408,141
Repulse Bay,YUT,66.5214,-86.2247,142
Hall Beach,YUX,68.7761,-81.2425,143
Rouyn,YUY,48.2061,-78.8356,144
La Ronge,YVC,55.1514,-105.262,145
Vermillion,YVG,53.3558,-110.824,146
Broughton Island,YVM,67.5458,-64.0314,147
Val D'or,YVO,48.0533,-77.7828,148
Quujjuaq,YVP,58.0961,-68.4269,149
Norman Wells,YVQ,65.2816,-126.798,150
Vancouver,YVR,49.1939,-123.184,151
Buffalo Narrows,YVT,55.8419,-108.418,152
Wiarton,YVV,44.7458,-81.1072,153
Petawawa,YWA,45.9522,-77.3192,154
Winnipeg,YWG,49.91,-97.2399,155
Wabush,YWK,52.9219,-66.8644,156
Williams Lake,YWL,52.1831,-122.054,157
Wrigley,YWY,63.2094,-123.437,158
Cranbrook,YXC,49.6108,-115.782,159
Edmonton,YXD,53.5725,-113.521,160
Saskatoon,YXE,52.1708,-106.7,161
Medicine Hat,YXH,50.0189,-110.721,162
Fort Saint John,YXJ,56.2381,-120.74,163
Sioux Lookout,YXL,50.1139,-91.9053,164
Pangnirtung,YXP,66.145,-65.7136,165
Earlton,YXR,47.6974,-79.84734,166
Prince George,YXS,53.8894,-122.679,167
Terrace,YXT,54.4685,-128.576,168
London,YXU,43.0356,-81.1539,169
Abbotsford,YXX,49.0253,-122.361,170
Whitehorse,YXY,60.7096,-135.067,171
North Bay,YYB,46.3636,-79.4228,172
Calgary,YYC,51.1139,-114.02,173
Smithers,YYD,54.8247,-127.183,174
Fort Nelson,YYE,58.8364,-122.597,175
Penticton,YYF,49.4631,-119.602,176
Charlottetown,YYG,46.29,-63.1211,177
Spence Bay,YYH,69.5467,-93.5767,178
Victoria,YYJ,48.6469,-123.426,179
Lynn Lake,YYL,56.8639,-101.076,180
Swift Current,YYN,50.2919,-107.691,181
Churchill,YYQ,58.7392,-94.065,182
Goose Bay,YYR,53.3192,-60.4258,183
St. John's,YYT,47.6186,-52.7519,184
Kapuskasing,YYU,49.4139,-82.4675,185
Armstrong,YYW,50.2903,-88.9097,186
Mont Joli,YYY,48.6086,-68.2081,187
Toronto,YYZ,43.6772,-79.6306,188
Toronto,YZD,43.7425,-79.4656,189
Gore Bay,YZE,45.8853,-82.5678,190
